Date	logret
10/24/1990	-0.008773924
10/25/1990	-0.01350247
10/26/1990	-0.009240657
10/29/1990	0.009240657
10/30/1990	0.004547628
10/31/1990	0
11/1/1990	0.017728767
11/2/1990	0.017033339
11/5/1990	0
11/6/1990	-0.021398145
11/7/1990	0.008686179
11/8/1990	0.008515851
11/9/1990	0.016546553
11/12/1990	0.00804272
11/13/1990	0
11/14/1990	-0.012120633
11/15/1990	0
11/16/1990	0.004077912
11/19/1990	-0.004077912
11/20/1990	-0.008272526
11/21/1990	-0.008433168
11/23/1990	0.004237053
11/26/1990	0.016546553
11/27/1990	0.004039978
11/28/1990	0
