12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
5/31/2000,-0.026254865,-0.043548484,0.02168486,0.010466916,0.038323588,0.005
6/30/2000,0.032669833,0.032001167,0.01406129,0.026531694,-0.014510473,0.004
7/31/2000,-0.029087871,-0.052603935,0.014593155,0.084975708,-0.025276611,0.0048
8/31/2000,0.031565129,0.003501689,0.006315756,-0.039658606,-0.002876874,0.005
9/29/2000,-0.054081182,-0.08860374,0.007593319,0.032157454,-0.013449515,0.0051
10/31/2000,-0.01770319,-0.073009681,0.002922309,-0.042875038,-0.014781269,0.0056
11/30/2000,-0.061681348,-0.088001297,0.021495228,0.011905427,0.020462565,0.0051
12/29/2000,0.015127334,0.022787998,0.019058209,0.069233063,-0.021969557,0.005
1/31/2001,0.018807733,0.135500145,0.014506129,0.014555865,-0.013640488,0.0054
2/28/2001,-0.085469474,-0.079145802,0.015317066,-0.012956031,0.004438442,0.0038
3/30/2001,-0.06733317,-0.102818144,-0.003799744,0.009107083,-0.009688445,0.0042
4/30/2001,0.07239023,0.0465322,0.005376403,0.026297527,0.045592224,0.0039
5/31/2001,-0.014936468,0.008654019,0.014725292,0.025333814,-0.007797953,0.0032
6/29/2001,-0.03237926,-0.023164773,0.008227288,0.058462379,-0.00998825,0.0028
7/31/2001,-0.013937285,-0.065725577,0.017988134,-0.017297744,0.018145675,0.003
8/31/2001,-0.049489141,-0.011592291,0.004926726,0.033874006,0.040507301,0.0031
9/28/2001,-0.089216234,-0.156870768,0.012387151,-0.040080138,-0.001267132,0.0028
10/31/2001,0.018549215,0.061520714,0.005340589,-0.026941576,-0.024366608,0.0022
11/30/2001,0.058023749,0.103293475,-0.01063235,0.053532103,-0.00114634,0.0017
12/31/2001,0.005599602,0.078029794,0.012321719,0.026395264,0.020534222,0.0015
1/31/2002,-0.030989043,0.032596093,0.001492882,0.003805935,0.049673435,0.0014
2/28/2002,-0.009960737,0.015313688,-0.009961682,0.018100207,-0.004873179,0.0013
3/29/2002,0.042446911,0.056081619,0.008252461,0.059865742,0.029342583,0.0013
4/30/2002,-0.035220313,0.004015059,0.002182493,0.013134919,0.039017175,0.0015
5/31/2002,-0.000416215,-0.018586433,0.016609645,0.014451817,0.021255138,0.0014
6/28/2002,-0.062031499,-0.076608525,-0.001251756,0.027384328,-0.024554854,0.0013
7/31/2002,-0.085107016,-0.078589031,0.010171977,-0.050485442,-0.009692393,0.0015
8/30/2002,3.97E-05,0.014469339,0.023921843,-0.000242888,0.028624709,0.0014
9/30/2002,-0.111250906,-0.109673922,-0.012830106,-0.039520545,-0.008081805,0.0014
10/31/2002,0.072752002,0.064091001,0.020110123,-0.045688068,0.007929532,0.0014
11/29/2002,0.052517859,0.067795353,0.017795378,0.045301041,0.040282421,0.0012
12/31/2002,-0.049499023,-0.033959743,0.012454143,0.011442697,0.075137648,0.0011
1/31/2003,-0.031225109,-0.005655791,0.014375111,-0.027894658,0.005915245,0.001
2/28/2003,-0.019041588,-0.031504142,0.009501278,0.016200212,-0.05131348,0.0009
3/31/2003,-0.005626514,-0.032070334,0.007746542,0.020674361,-0.036323594,0.001
4/30/2003,0.086390036,0.084104941,0.035887835,0.047702425,0.083803096,0.001
